,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
1174,360810091001.0,[0.142 0.071 0.66  0.128],[0.121 0.071 0.113 0.589 0.106],[0.043 0.078 0.035 0.035 0.021 0.092 0.525 0.064 0.043 0.064],0.546,0.4862499999999999,0.4722222222222223
1175,360050283002.0,[0.6585 0.1496 0.1179 0.074 ],[0.2923 0.4847 0.0768 0.0924 0.0542],[0.2369 0.0548 0.4491 0.0356 0.0322 0.0452 0.0597 0.0328 0.0124 0.0418],0.5446666666666666,0.47100000000000003,0.5397222222222222
1176,360050283001.0,[0.545 0.238 0.118 0.099],[0.486 0.125 0.257 0.036 0.096],[0.393 0.093 0.062 0.063 0.172 0.085 0.03  0.006 0.03  0.066],0.39333333333333337,0.42874999999999996,0.40555555555555567
1177,360810091002.0,[0.2255 0.0856 0.5378 0.1511],[0.2255 0.     0.4618 0.1946 0.1183],[0.0964 0.1291 0.     0.     0.0856 0.3762 0.1087 0.0859 0.0327 0.0856],0.38373333333333326,0.359,0.3487777777777778
1178,360470549002.0,[0.4578 0.167  0.2178 0.1574],[0.4079 0.1307 0.1425 0.2077 0.1116],[0.2412 0.1658 0.0971 0.0337 0.0865 0.0559 0.004  0.2037 0.0535 0.0576],0.27706666666666663,0.26924999999999993,0.3457777777777778
1179,360610239001.0,[0.6165 0.1542 0.2042 0.0252],[0.404  0.3286 0.2086 0.0336 0.0252],[0.404  0.     0.2128 0.1161 0.038  0.1706 0.     0.0336 0.0013 0.0239],0.4886,0.42650000000000005,0.5592777777777778
1180,360610239002.0,[0.59   0.202  0.1626 0.0454],[0.4804 0.2608 0.1656 0.0502 0.0429],[0.3934 0.087  0.1274 0.1337 0.0507 0.1147 0.0202 0.0302 0.0042 0.0387],0.4533333333333333,0.42656249999999996,0.41011111111111115
1181,360610026011.0,[0.3379 0.3692 0.1002 0.1927],[0.3267 0.3571 0.0261 0.1057 0.1846],[0.2632 0.0635 0.0195 0.3377 0.0234 0.0027 0.0615 0.0441 0.0678 0.1168],0.2761333333333333,0.3546249999999999,0.464
1182,360610026012.0,[0.364  0.2503 0.1989 0.1865],[0.2695 0.2411 0.1513 0.2118 0.126 ],[0.204  0.0656 0.1063 0.1346 0.1034 0.0476 0.1494 0.0622 0.0301 0.096 ],0.1526,0.1531875,0.2201111111111111
1183,360470164001.0,[0.    0.    0.848 0.152],[0.    0.    0.    0.848 0.152],[0.    0.    0.    0.    0.    0.    0.    0.848 0.    0.152],0.7973333333333333,0.8099999999999999,0.888888888888889
1184,360810132002.0,[0.667 0.301 0.032 0.   ],[0.436 0.532 0.032 0.    0.   ],[0.436 0.    0.231 0.301 0.    0.032 0.    0.    0.    0.   ],0.624,0.7100000000000001,0.7422222222222222
1185,360810132001.0,[0.062 0.062 0.062 0.812],[0.    0.062 0.062 0.063 0.813],[0.    0.    0.062 0.    0.063 0.    0.063 0.    0.    0.813],0.7506666666666667,0.76625,0.7916666666666666
1186,360610026021.0,[0.2424 0.3447 0.1557 0.2574],[0.2413 0.2047 0.1691 0.1407 0.2443],[0.2025 0.0387 0.1003 0.1043 0.1411 0.0279 0.0988 0.0419 0.0562 0.1882],0.136,0.11281249999999997,0.2627222222222222
1187,360610026022.0,[0.3031 0.1935 0.3856 0.1177],[0.295  0.1479 0.1876 0.3123 0.0573],[0.2501 0.0445 0.0756 0.0725 0.0538 0.1338 0.2298 0.0825 0.0343 0.0231],0.25166666666666665,0.25906250000000003,0.3485555555555555
1188,360470590001.0,[0.202 0.296 0.317 0.185],[0.143 0.269 0.28  0.268 0.04 ],[0.056 0.087 0.123 0.146 0.086 0.194 0.117 0.151 0.024 0.016],0.15066666666666664,0.27125,0.25666666666666665
1189,360610067001.0,[0.232  0.2358 0.2151 0.3171],[0.2062 0.1462 0.1821 0.1966 0.2689],[0.1182 0.0879 0.053  0.0933 0.1154 0.0669 0.1051 0.0914 0.1248 0.1442],0.08946666666666664,0.09387499999999997,0.11955555555555555
1190,360610067002.0,[0.2431 0.1665 0.1521 0.4383],[0.2407 0.0877 0.1526 0.1471 0.372 ],[0.2029 0.0376 0.0122 0.0755 0.0812 0.0715 0.0744 0.0726 0.1271 0.2449],0.25106666666666666,0.26581249999999995,0.30550000000000005
1191,360610067003.0,[0.1624 0.1703 0.2278 0.4397],[0.1337 0.1477 0.1709 0.1375 0.4103],[0.054  0.0795 0.0528 0.0949 0.0513 0.1194 0.0836 0.0539 0.1671 0.2434],0.25279999999999997,0.26281249999999995,0.2555
1192,360610067004.0,[0.1427 0.2236 0.1756 0.4582],[0.1236 0.1277 0.178  0.1708 0.3999],[0.0775 0.0464 0.0542 0.0734 0.1149 0.063  0.0814 0.0898 0.1959 0.2041],0.27753333333333335,0.24987499999999999,0.23844444444444446
1193,360594109001.0,[0.149 0.252 0.345 0.254],[0.113 0.167 0.251 0.27  0.2  ],[0.069 0.044 0.074 0.092 0.121 0.129 0.141 0.129 0.115 0.085],0.13466666666666666,0.15062499999999998,0.15055555555555555
1194,360470205002.0,[0.    0.333 0.333 0.333],[0.    0.    0.333 0.333 0.333],[0.    0.    0.    0.    0.333 0.    0.333 0.    0.    0.333],0.3326666666666667,0.499375,0.7772222222222224
1195,360470418001.0,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
1196,360610108001.0,[0.1882 0.2173 0.1566 0.4376],[0.1469 0.1716 0.1614 0.1225 0.3977],[0.0674 0.0794 0.067  0.1045 0.0874 0.0741 0.069  0.0535 0.0917 0.3058],0.25033333333333335,0.24706250000000002,0.2337777777777778
1197,360610108002.0,[0.2155 0.2437 0.1882 0.3526],[0.1818 0.1822 0.1708 0.1542 0.311 ],[0.1129 0.068  0.0678 0.1144 0.0962 0.0756 0.0664 0.0879 0.1495 0.1615],0.1368,0.13875,0.15355555555555553
1198,360610108003.0,[0.2203 0.1783 0.1539 0.4475],[0.1776 0.1053 0.1895 0.1196 0.4076],[0.0933 0.0844 0.0519 0.0533 0.1158 0.0741 0.0452 0.0746 0.1268 0.2809],0.26333333333333336,0.25975,0.24816666666666665
