,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
75,138,[0.    0.508 0.454 0.039],[0.    0.    0.961 0.    0.039],[0.    0.    0.    0.    0.508 0.454 0.    0.    0.001 0.038],0.6153333333333333,0.9512499999999999,0.8461111111111111
76,139,[0.    0.061 0.652 0.288],[0.    0.    0.712 0.    0.288],[0.    0.    0.    0.    0.061 0.652 0.    0.    0.288 0.   ],0.586,0.7500000000000001,0.8216666666666668
77,140,[0.    0.    0.047 0.953],[0.    0.    0.047 0.    0.953],[0.    0.    0.    0.    0.    0.047 0.    0.    0.953 0.   ],0.9373333333333335,0.9412499999999999,0.9477777777777778
78,141,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
79,142,[0.    0.446 0.545 0.009],[0.    0.    0.991 0.    0.009],[0.    0.    0.    0.    0.446 0.545 0.    0.    0.009 0.   ],0.6546666666666667,0.9887499999999999,0.8788888888888889
80,143,[0.    0.143 0.857 0.   ],[0. 0. 1. 0. 0.],[0.    0.    0.    0.    0.143 0.857 0.    0.    0.    0.   ],0.8093333333333333,1.0,0.888888888888889
81,144,[0.    0.072 0.475 0.453],[0.    0.    0.547 0.    0.453],[0.    0.    0.    0.    0.072 0.475 0.    0.    0.453 0.   ],0.5706666666666668,0.7500000000000001,0.808888888888889
82,145,[0.    0.    0.857 0.143],[0.    0.    0.857 0.    0.143],[0.    0.    0.    0.    0.    0.857 0.    0.    0.143 0.   ],0.8093333333333333,0.8212499999999998,0.8888888888888888
83,146,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
84,147,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
85,148,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
86,149,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
87,152,[0.    0.778 0.    0.222],[0.    0.    0.778 0.    0.222],[0.    0.    0.    0.    0.778 0.    0.    0.    0.222 0.   ],0.7040000000000001,0.7500000000000001,0.888888888888889
88,153,[0.  0.  0.8 0.2],[0.  0.  0.8 0.  0.2],[0.  0.  0.  0.  0.  0.8 0.  0.  0.2 0. ],0.7333333333333334,0.7499999999999999,0.888888888888889
